video_id,channel_name,publishedAt,title,source,company,confidence,sentiment,company_name,tickers,sector,industry,country,website
7488321212725169451,tik.stocks,2025-04-01T12:31:53Z,"Spotted this at BevMo, turns out it’s from a public company #sponsored",tiktok,"Safety Shot, Inc.",1.0,0.8,"Safety Shot, Inc.",SHOT,Consumer Defensive,Beverages - Non-Alcoholic,United States,https://safetyshotofficial.com
7488321212725169451,tik.stocks,2025-04-01T12:31:53Z,"Spotted this at BevMo, turns out it’s from a public company #sponsored",tiktok,BevMo,0.7,0.2,BioMarin Pharmaceutical Inc.,BMRN,Healthcare,Biotechnology,United States,https://www.biomarin.com
7483992746445835566,tik.stocks,2025-03-20T20:34:21Z,a few stocks I’m buying on the dip #stocks #tariffs #trump #recession ,tiktok,S&P Global,0.6,0.0,NIQ Global Intelligence plc,NIQ,,,,
7483992746445835566,tik.stocks,2025-03-20T20:34:21Z,a few stocks I’m buying on the dip #stocks #tariffs #trump #recession ,tiktok,"Standard Motor Products, Inc.",0.35,0.0,Bitwise Bitcoin Standard Corporations ETF,OWNB,,,,
7483992746445835566,tik.stocks,2025-03-20T20:34:21Z,a few stocks I’m buying on the dip #stocks #tariffs #trump #recession ,tiktok,"SentinelOne, Inc.",0.35,0.0,"SentinelOne, Inc.",S,Technology,Software - Infrastructure,United States,https://www.sentinelone.com
7480158800062729518,tik.stocks,2025-03-10T12:37:40Z,Why Safety Shot ($SHOT) has my attention #sponsored ,tiktok,"Safety Shot, Inc.",1.0,0.9,"Safety Shot, Inc.",SHOT,Consumer Defensive,Beverages - Non-Alcoholic,United States,https://safetyshotofficial.com
7480158800062729518,tik.stocks,2025-03-10T12:37:40Z,Why Safety Shot ($SHOT) has my attention #sponsored ,tiktok,Alphabet Inc.,0.7,0.0,Alphabet Inc.,GOOG,Communication Services,Internet Content & Information,United States,https://abc.xyz
7480158800062729518,tik.stocks,2025-03-10T12:37:40Z,Why Safety Shot ($SHOT) has my attention #sponsored ,tiktok,Nvidia Corporation,0.7,0.0,NVIDIA Corporation,NVDA,Technology,Semiconductors,United States,https://www.nvidia.com
7480158800062729518,tik.stocks,2025-03-10T12:37:40Z,Why Safety Shot ($SHOT) has my attention #sponsored ,tiktok,Apple Inc.,1.0,0.0,Apple Inc.,AAPL,Technology,Consumer Electronics,United States,https://www.apple.com
7480158800062729518,tik.stocks,2025-03-10T12:37:40Z,Why Safety Shot ($SHOT) has my attention #sponsored ,tiktok,Monster Beverage Corporation,1.0,0.9,Monster Beverage Corporation,MNST,Consumer Defensive,Beverages - Non-Alcoholic,United States,https://www.monsterbevcorp.com
7478005486294519082,tik.stocks,2025-03-04T17:21:26Z,Buffett went on on Trump’s tariffs #warrenbuffett ,tiktok,,,,,,,,,
7477643120327363882,tik.stocks,2025-03-03T17:55:33Z,timely reminder from one of the greatest to ever do it #peterlynch,tiktok,,,,,,,,,
7476215985033284907,tik.stocks,2025-02-27T21:36:36Z,"Replying to @thestockmaven when Steve Cohen speaks, I listen 👂🏻 ",tiktok,Cohen's hedge fund,0.8,0.9,"Cohen & Steers Infrastructure Fund, Inc",UTF,Financial Services,Asset Management,United States,https://www.cohenandsteers.com/funds/details/infrastructure-fund
7476215985033284907,tik.stocks,2025-02-27T21:36:36Z,"Replying to @thestockmaven when Steve Cohen speaks, I listen 👂🏻 ",tiktok,OpenAI,0.8,0.9,BioMarin Pharmaceutical Inc.,BMRN,Healthcare,Biotechnology,United States,https://www.biomarin.com
7476215985033284907,tik.stocks,2025-02-27T21:36:36Z,"Replying to @thestockmaven when Steve Cohen speaks, I listen 👂🏻 ",tiktok,"C3.ai, Inc.",0.35,0.0,"C3.ai, Inc.",AI,Technology,Software - Infrastructure,United States,https://www.c3.ai
7475882079126080814,tik.stocks,2025-02-27T00:01:16Z,interesting take from master trader Steve Cohen ,tiktok,,,,,,,,,
7475485364921126186,tik.stocks,2025-02-25T22:21:45Z,is the bull market over? 🤔 ,tiktok,GameStop,0.7,-0.8,GameStop Corp.,GME,Consumer Cyclical,Specialty Retail,United States,https://www.gamestop.com
7475485364921126186,tik.stocks,2025-02-25T22:21:45Z,is the bull market over? 🤔 ,tiktok,Georgetown Motors,0.7,-0.8,JOHNSON ELEC H,0179.HK,Consumer Cyclical,Auto Parts,Hong Kong,https://www.johnsonelectric.com
7470900491052928299,tik.stocks,2025-02-13T13:49:47Z,How to invest in SpaceX #ad #spacex #ershares,tiktok,SpaceX,0.7,0.9,BioMarin Pharmaceutical Inc.,BMRN,Healthcare,Biotechnology,United States,https://www.biomarin.com
7470900491052928299,tik.stocks,2025-02-13T13:49:47Z,How to invest in SpaceX #ad #spacex #ershares,tiktok,ERShares Private-Public Crossover ETF,1.0,0.9,Scharf ETF,KAT,,,,
7470900491052928299,tik.stocks,2025-02-13T13:49:47Z,How to invest in SpaceX #ad #spacex #ershares,tiktok,NASDAQ,0.6,0.1,Invesco NASDAQ Next Gen 100 ETF,QQQJ,,,,
7470900491052928299,tik.stocks,2025-02-13T13:49:47Z,How to invest in SpaceX #ad #spacex #ershares,tiktok,Renaissance IPO ETF,0.35,0.0,Renaissance IPO ETF,IPO,,,,
7465024522803105067,tik.stocks,2025-01-28T17:48:36Z,He makes a compelling argument. What do you think? #nvda #deepseek ,tiktok,NVIDIA Corporation,1.0,0.8,NVIDIA Corporation,NVDA,Technology,Semiconductors,United States,https://www.nvidia.com
7465024522803105067,tik.stocks,2025-01-28T17:48:36Z,He makes a compelling argument. What do you think? #nvda #deepseek ,tiktok,DeepSeek,0.6,0.0,BioMarin Pharmaceutical Inc.,BMRN,Healthcare,Biotechnology,United States,https://www.biomarin.com
7464706964883344682,tik.stocks,2025-01-27T21:15:42Z,my take on today’s stock market sell-off #deepseek #nvidia ,tiktok,Deep Seek,1.0,0.7,Deep Source Holdings Limited,0990.HK,Basic Materials,Steel,Hong Kong,https://www.990.com.hk
7464706964883344682,tik.stocks,2025-01-27T21:15:42Z,my take on today’s stock market sell-off #deepseek #nvidia ,tiktok,NVIDIA Corporation,1.0,-0.9,NVIDIA Corporation,NVDA,Technology,Semiconductors,United States,https://www.nvidia.com
7464706964883344682,tik.stocks,2025-01-27T21:15:42Z,my take on today’s stock market sell-off #deepseek #nvidia ,tiktok,Apple Inc.,1.0,0.0,Apple Inc.,AAPL,Technology,Consumer Electronics,United States,https://www.apple.com
7464706964883344682,tik.stocks,2025-01-27T21:15:42Z,my take on today’s stock market sell-off #deepseek #nvidia ,tiktok,OpenAI,1.0,-0.3,BioMarin Pharmaceutical Inc.,BMRN,Healthcare,Biotechnology,United States,https://www.biomarin.com
7464706964883344682,tik.stocks,2025-01-27T21:15:42Z,my take on today’s stock market sell-off #deepseek #nvidia ,tiktok,Alphabet Inc.,1.0,0.6,Alphabet Inc.,GOOG,Communication Services,Internet Content & Information,United States,https://abc.xyz
7464706964883344682,tik.stocks,2025-01-27T21:15:42Z,my take on today’s stock market sell-off #deepseek #nvidia ,tiktok,Meta Platforms Inc.,1.0,0.6,"Meta Platforms, Inc.",META,Communication Services,Internet Content & Information,United States,https://investor.atmeta.com
