video_id,channel_name,publishedAt,title,source,company,confidence,sentiment
7488403947607182614,marktilbury,2025-04-01T17:51:55Z,Comment when you get it 🤔,tiktok,,,
7486494982795234582,marktilbury,2025-03-27T14:24:11Z,How Do Taxes Work? ,tiktok,,,
7485430896078671126,marktilbury,2025-03-24T17:34:58Z,How Quickly Can You Spend $100 Billion?,tiktok,McDonald's,0.9,0.0
7485430896078671126,marktilbury,2025-03-24T17:34:58Z,How Quickly Can You Spend $100 Billion?,tiktok,Netflix,1.0,0.0
7485430896078671126,marktilbury,2025-03-24T17:34:58Z,How Quickly Can You Spend $100 Billion?,tiktok,Apple,0.9,0.0
7485430896078671126,marktilbury,2025-03-24T17:34:58Z,How Quickly Can You Spend $100 Billion?,tiktok,Rolex,0.9,0.0
7485430896078671126,marktilbury,2025-03-24T17:34:58Z,How Quickly Can You Spend $100 Billion?,tiktok,Tesla,1.0,0.0
7484946811573243159,marktilbury,2025-03-23T10:16:28Z,Ultimate Advice For Students & Young People,tiktok,Mr. Beast,0.7,0.0
7484946811573243159,marktilbury,2025-03-23T10:16:28Z,Ultimate Advice For Students & Young People,tiktok,KFC,1.0,0.0
7484329093417209110,marktilbury,2025-03-21T18:19:24Z,You Can Only Do This When You’re 18!,tiktok,,,
7483605372897381654,marktilbury,2025-03-19T19:31:00Z,How To Get Ahead of 99% Of People,tiktok,Apple,0.95,0.8
7483605372897381654,marktilbury,2025-03-19T19:31:00Z,How To Get Ahead of 99% Of People,tiktok,Blackberry,0.95,-0.8
7483605372897381654,marktilbury,2025-03-19T19:31:00Z,How To Get Ahead of 99% Of People,tiktok,Spotify,0.95,0.8
7483605372897381654,marktilbury,2025-03-19T19:31:00Z,How To Get Ahead of 99% Of People,tiktok,Netflix,0.95,0.8
7483605372897381654,marktilbury,2025-03-19T19:31:00Z,How To Get Ahead of 99% Of People,tiktok,Blockbuster,0.95,-0.8
7483605372897381654,marktilbury,2025-03-19T19:31:00Z,How To Get Ahead of 99% Of People,tiktok,Amazon,0.95,0.8
7483605372897381654,marktilbury,2025-03-19T19:31:00Z,How To Get Ahead of 99% Of People,tiktok,Toys R Us,0.95,-0.8
7483605372897381654,marktilbury,2025-03-19T19:31:00Z,How To Get Ahead of 99% Of People,tiktok,YouTube,0.95,0.8
7483605372897381654,marktilbury,2025-03-19T19:31:00Z,How To Get Ahead of 99% Of People,tiktok,Google,0.95,0.8
7483605372897381654,marktilbury,2025-03-19T19:31:00Z,How To Get Ahead of 99% Of People,tiktok,Yahoo,0.95,-0.8
7482042434696842518,marktilbury,2025-03-15T14:26:01Z,The FASTEST Way To Become POOR,tiktok,Netflix,0.9,-0.5
7480612652826299670,marktilbury,2025-03-11T17:57:44Z,Millionaire CAUGHT Renting A Lambo 🤡,tiktok,Lamborghini,0.9,0.0
7479938442902670614,marktilbury,2025-03-09T22:21:29Z,LOSERS VS WINNERS,tiktok,,,
7479025683046337814,marktilbury,2025-03-07T11:19:30Z,Why You’ll NEVER Own A Lambo… 😳,tiktok,Lambo,0.9,0.0
7477556594432036118,marktilbury,2025-03-03T12:18:41Z,How To Be A REAL Millionaire,tiktok,Lamborghini,0.9,0.0
7476540357489085718,marktilbury,2025-02-28T18:35:08Z,5 JOBS that’ll make you a millionaire,tiktok,,,
7474678789381950742,marktilbury,2025-02-23T18:11:18Z,THE BIGGEST WEALTH KILLER (no one talks about),tiktok,,,
7473864079027850518,marktilbury,2025-02-21T13:29:49Z,The best stocks to buy to get rich 🤑 ,tiktok,VOO,0.9,0.8
7473864079027850518,marktilbury,2025-02-21T13:29:49Z,The best stocks to buy to get rich 🤑 ,tiktok,VUAG,0.9,0.8
7473864079027850518,marktilbury,2025-02-21T13:29:49Z,The best stocks to buy to get rich 🤑 ,tiktok,Tesla,1.0,0.7
7473864079027850518,marktilbury,2025-02-21T13:29:49Z,The best stocks to buy to get rich 🤑 ,tiktok,Amazon,1.0,0.7
7473864079027850518,marktilbury,2025-02-21T13:29:49Z,The best stocks to buy to get rich 🤑 ,tiktok,Google,1.0,0.7
7473864079027850518,marktilbury,2025-02-21T13:29:49Z,The best stocks to buy to get rich 🤑 ,tiktok,meta,1.0,0.7
7473503339318136086,marktilbury,2025-02-20T14:09:58Z,Apple Doesn’t Want You To Know THIS…,tiktok,Apple,1.0,-0.2
7471234915971976470,marktilbury,2025-02-14T11:27:21Z,LUXURY FASHION IS FOR BROKE PEOPLE,tiktok,,,
7470089455324466465,marktilbury,2025-02-11T09:22:41Z,How to get rich selling NOTHING 😈,tiktok,Doordash,1.0,0.0
7470089455324466465,marktilbury,2025-02-11T09:22:41Z,How to get rich selling NOTHING 😈,tiktok,Uber,1.0,0.0
7470089455324466465,marktilbury,2025-02-11T09:22:41Z,How to get rich selling NOTHING 😈,tiktok,EBay,1.0,0.0
7470089455324466465,marktilbury,2025-02-11T09:22:41Z,How to get rich selling NOTHING 😈,tiktok,Airbnb,1.0,0.0
7470089455324466465,marktilbury,2025-02-11T09:22:41Z,How to get rich selling NOTHING 😈,tiktok,Robin Hood,1.0,0.0
7470089455324466465,marktilbury,2025-02-11T09:22:41Z,How to get rich selling NOTHING 😈,tiktok,Spotify,1.0,0.0
7468657193735179553,marktilbury,2025-02-07T12:44:39Z,Wingstop’s DIRTY Secret 🤫 ,tiktok,Wingstop,0.9,-0.4
