date,holdings_count,long_count,short_count,total_long_weight,total_short_weight,net_weight,total_long_allocation,total_short_allocation,composition_json,top_holdings
2024-10-02T09:55:00+00:00,1,1,0,1.0,0.0,1.0,10000.0,0.0,"{""MSFT"": 1.0}",MSFT:1.000
2024-10-04T09:54:00+00:00,4,1,3,0.9070219543596664,-0.0929780456403334,0.814043908719333,9070.219543596664,-929.780456403336,"{""BLK"": -0.061585069540208, ""HD"": -0.0013972753967175, ""NVDA"": 0.9070219543596664, ""TXN"": -0.0299957007034079}","NVDA:0.907, BLK:0.062, TXN:0.030, HD:0.001"
2024-10-07T09:54:00+00:00,2,2,0,1.0,0.0,1.0,10000.0,0.0,"{""NKE"": 0.4947758186327977, ""SBUX"": 0.5052241813672023}","SBUX:0.505, NKE:0.495"
2024-10-08T09:55:00+00:00,4,4,0,0.9999999999999998,0.0,0.9999999999999998,10000.0,0.0,"{""ULTA"": 0.2517832122488849, ""PYPL"": 0.2685236140336404, ""NKE"": 0.2665484192791995, ""BRK-B"": 0.2131447544382751}","PYPL:0.269, NKE:0.267, ULTA:0.252, BRK-B:0.213"
2024-10-10T09:55:00+00:00,5,2,3,0.2150008024632186,-0.7849991975367814,-0.5699983950735628,2150.0080246321863,-7849.991975367813,"{""GD"": -0.1889789318806831, ""HWM"": -0.3307946614625658, ""IVZ"": 0.0039007204315954, ""LMT"": 0.2111000820316232, ""NOC"": -0.2652256041935324}","HWM:0.331, NOC:0.265, LMT:0.211, GD:0.189, IVZ:0.004"
2024-10-11T09:55:00+00:00,5,3,2,0.5858296826668971,-0.4141703173331027,0.17165936533379442,5858.296826668973,-4141.703173331027,"{""WMT"": 0.2642831209944076, ""TGT"": 0.1589259945874449, ""HD"": -0.207554186468969, ""DG"": 0.1626205670850446, ""LOW"": -0.2066161308641337}","WMT:0.264, HD:0.208, LOW:0.207, DG:0.163, TGT:0.159"
2024-10-15T09:55:00+00:00,3,0,3,0.0,-0.9999999999999999,-0.9999999999999999,0.0,-9999.999999999996,"{""MRNA"": -0.9074369729674926, ""PEP"": -0.0452363423028896, ""PFE"": -0.0473266847296176}","MRNA:0.907, PFE:0.047, PEP:0.045"
2024-10-16T09:55:00+00:00,4,4,0,0.9999999999999998,0.0,0.9999999999999998,10000.0,0.0,"{""PEP"": 0.3464949230776822, ""KO"": 0.0003281062802752, ""MNST"": 0.2140407402316791, ""NKE"": 0.4391362304103633}","NKE:0.439, PEP:0.346, MNST:0.214, KO:0.000"
2024-10-17T09:55:00+00:00,17,14,3,0.9812076757452636,-0.0187923242547355,0.9624153514905283,9812.076757452644,-187.92324254735615,"{""META"": 0.0871765425126281, ""MSFT"": 0.0866430697683873, ""NFLX"": 0.0930733948451473, ""LMT"": 0.004354406951842, ""PEP"": 0.0935861245656526, ""PFE"": -0.0108723840456768, ""NVDA"": 0.0899538049596446, ""HD"": -0.0003111881724843, ""TSLA"": 0.0911541923216597, ""CVX"": 5.18859537223894e-05, ""AAPL"": 0.0898389077668929, ""ADBE"": 0.0898830465634029, ""AVGO"": 0.0899169919261057, ""GOOG"": 0.0744094140439783, ""BMY"": 0.0010525613674718, ""BRK-B"": 0.0901133321987282, ""BLK"": -0.0076087520365744}","PEP:0.094, NFLX:0.093, TSLA:0.091, BRK-B:0.090, NVDA:0.090"
2024-10-21T09:55:00+00:00,2,2,0,1.0,0.0,1.0,10000.0,0.0,"{""MSFT"": 0.4856236239489238, ""NVDA"": 0.5143763760510762}","NVDA:0.514, MSFT:0.486"
2024-10-22T09:55:00+00:00,4,4,0,0.9999999999999998,0.0,0.9999999999999998,10000.0,0.0,"{""PYPL"": 0.3814370068448857, ""MMM"": 0.1747775018214559, ""DASH"": 0.2548940164863753, ""FTNT"": 0.188891474847283}","PYPL:0.381, DASH:0.255, FTNT:0.189, MMM:0.175"
2024-10-24T09:55:00+00:00,10,5,5,0.46569895916233406,-0.5343010408376656,-0.0686020816753316,4656.989591623342,-5343.010408376657,"{""AAPL"": 0.0002280252098552, ""DG"": -0.0549509052235402, ""INTC"": 0.0271336329986439, ""MSFT"": 0.1382354518163675, ""MTCH"": 0.179307283326164, ""NKE"": -0.0058313529077378, ""NVDA"": 0.1207945658113034, ""TGT"": -0.1476094612844213, ""TSLA"": -0.1763026262537563, ""AXP"": -0.14960669516821}","MTCH:0.179, TSLA:0.176, AXP:0.150, TGT:0.148, MSFT:0.138"
2024-10-28T09:55:00+00:00,5,5,0,0.9999999999999998,0.0,0.9999999999999998,10000.0,0.0,"{""MSFT"": 0.2366026623776995, ""NVDA"": 0.2374418932500841, ""GOOG"": 0.2277184494838585, ""ADBE"": 0.2331722021218406, ""CEG"": 0.0650647927665171}","NVDA:0.237, MSFT:0.237, ADBE:0.233, GOOG:0.228, CEG:0.065"
2024-10-29T09:55:00+00:00,6,3,3,0.6256707149589749,-0.3743292850410248,0.2513414299179501,6256.70714958975,-3743.2928504102492,"{""DASH"": -0.0465679784797914, ""DG"": -0.0022081123944941, ""DLTR"": 0.0019009693301143, ""EBAY"": 0.0012065125408342, ""KR"": -0.3255531941667393, ""PYPL"": 0.6225632330880264}","PYPL:0.623, KR:0.326, DASH:0.047, DG:0.002, DLTR:0.002"
2024-10-30T09:55:00+00:00,2,0,2,0.0,-0.9999999999999999,-0.9999999999999999,0.0,-10000.0,"{""INTC"": -0.7505251314466264, ""TSLA"": -0.2494748685533735}","INTC:0.751, TSLA:0.249"
2024-10-31T09:55:00+00:00,2,1,1,0.3278188458377066,-0.6721811541622933,-0.3443623083245867,3278.1884583770666,-6721.811541622933,"{""GS"": 0.3278188458377066, ""TSLA"": -0.6721811541622933}","TSLA:0.672, GS:0.328"
2024-11-04T10:55:00+00:00,4,3,1,0.9997956093794085,-0.0002043906205914,0.9995912187588171,9997.956093794086,-2.0439062059141113,"{""PAYC"": 0.3135145736517021, ""NKE"": 0.3470178641502365, ""AAPL"": -0.0002043906205914, ""LUV"": 0.3392631715774699}","NKE:0.347, LUV:0.339, PAYC:0.314, AAPL:0.000"
2024-11-05T10:55:00+00:00,8,5,3,0.7748741078348228,-0.22512589216517712,0.5497482156696456,7748.741078348227,-2251.2589216517713,"{""AAPL"": 0.2567377905203017, ""INTC"": 0.2367250882026619, ""MSFT"": -0.0001728946712712, ""NKE"": 0.0082926986254106, ""NVDA"": 0.2599843551104325, ""PEP"": -0.009280863484741, ""TMUS"": 0.0131341753760161, ""TSLA"": -0.2156721340091649}","NVDA:0.260, AAPL:0.257, INTC:0.237, TSLA:0.216, TMUS:0.013"
2024-11-06T10:55:00+00:00,6,2,4,0.7091277421042963,-0.2908722578957036,0.4182554842085926,7091.277421042963,-2908.722578957037,"{""NVDA"": 0.3902528896425501, ""NFLX"": -0.0765231789200986, ""ON"": 0.3188748524617462, ""INTC"": -0.1801060372023273, ""AVGO"": -0.034207265185594, ""MSFT"": -3.57765876837143e-05}","NVDA:0.390, ON:0.319, INTC:0.180, NFLX:0.077, AVGO:0.034"
2024-11-07T10:55:00+00:00,3,2,1,0.7193065565309046,-0.2806934434690953,0.43861311306180933,7193.065565309046,-2806.934434690954,"{""AAPL"": 0.000659878635246, ""KR"": -0.2806934434690953, ""PAYC"": 0.7186466778956586}","PAYC:0.719, KR:0.281, AAPL:0.001"
2024-11-09T12:30:44+00:00,5,1,4,0.1119908423665454,-0.8880091576334543,-0.776018315266909,1119.9084236654546,-8880.091576334546,"{""AAPL"": -0.2340380348024478, ""BAC"": -0.1882284178804276, ""BRK-B"": 0.1119908423665454, ""COP"": -0.2608610126144349, ""CVX"": -0.2048816923361441}","COP:0.261, AAPL:0.234, CVX:0.205, BAC:0.188, BRK-B:0.112"
2024-11-11T10:55:00+00:00,4,2,2,0.3515053098656613,-0.6484946901343386,-0.29698938026867727,3515.053098656614,-6484.946901343386,"{""SMCI"": -0.6159958988200758, ""PEP"": -0.0324987913142628, ""HSY"": 0.3511123401455329, ""KO"": 0.0003929697201284}","SMCI:0.616, HSY:0.351, PEP:0.032, KO:0.000"
2024-11-13T10:54:00+00:00,1,1,0,1.0,0.0,1.0,10000.0,0.0,"{""NKE"": 1.0}",NKE:1.000
2024-11-16T12:30:51+00:00,6,2,4,0.2855169474408091,-0.7144830525591908,-0.4289661051183816,2855.169474408093,-7144.830525591908,"{""ULTA"": -0.1824606373962584, ""AAPL"": -0.1854009295541836, ""BAC"": -0.1755295351020082, ""BRK-B"": 0.1222484545100719, ""CHTR"": -0.1710919505067405, ""POOL"": 0.1632684929307372}","AAPL:0.185, ULTA:0.182, BAC:0.176, CHTR:0.171, POOL:0.163"
2024-11-18T10:55:00+00:00,4,4,0,1.0,0.0,1.0,10000.0,0.0,"{""SCHW"": 0.0005366167284221, ""ULTA"": 0.5045549161250487, ""BRK-B"": 0.0002480360110725, ""PYPL"": 0.4946604311354567}","ULTA:0.505, PYPL:0.495, SCHW:0.001, BRK-B:0.000"
2024-11-20T10:55:00+00:00,3,2,1,0.5173042543012254,-0.4826957456987745,0.034608508602450905,5173.042543012255,-4826.957456987745,"{""EIX"": 0.0410608377085847, ""NVDA"": 0.4762434165926407, ""SMCI"": -0.4826957456987745}","SMCI:0.483, NVDA:0.476, EIX:0.041"
2024-11-22T10:55:00+00:00,2,1,1,0.9814205099185704,-0.0185794900814294,0.962841019837141,9814.205099185703,-185.7949008142944,"{""NVDA"": 0.9814205099185704, ""TSLA"": -0.0185794900814294}","NVDA:0.981, TSLA:0.019"
2024-11-25T10:55:00+00:00,4,4,0,0.9999999999999999,0.0,0.9999999999999999,10000.0,0.0,"{""INTC"": 0.1719848737759943, ""ON"": 0.2392770989800304, ""TGT"": 0.5886184935542621, ""WMT"": 0.0001195336897131}","TGT:0.589, ON:0.239, INTC:0.172, WMT:0.000"
2024-11-27T10:55:00+00:00,7,6,1,0.9782343092260153,-0.0217656907739844,0.9564686184520308,9782.343092260156,-217.65690773984417,"{""UAA"": -0.0217656907739844, ""PYPL"": 0.2058681370094726, ""PEP"": 0.1624615660115173, ""NKE"": 0.2036329628687035, ""DG"": 0.0895853237207553, ""AZO"": 0.158543882527942, ""NVR"": 0.1581424370876246}","PYPL:0.206, NKE:0.204, PEP:0.162, AZO:0.159, NVR:0.158"
2024-11-30T12:30:51+00:00,5,0,5,0.0,-0.9999999999999998,-0.9999999999999998,0.0,-10000.0,"{""AAPL"": -0.1919760717152322, ""INTC"": -0.226631515483766, ""MSFT"": -0.1667447281943306, ""NVDA"": -0.2210418580763638, ""TSLA"": -0.1936058265303072}","INTC:0.227, NVDA:0.221, TSLA:0.194, AAPL:0.192, MSFT:0.167"
2024-12-02T10:55:00+00:00,9,5,4,0.6082406028932199,-0.39175939710677976,0.21648120578644012,6082.406028932201,-3917.5939710677994,"{""PFE"": -0.1358463541810928, ""T"": -0.2042108808027169, ""SBUX"": 0.0118188173724679, ""PEP"": 0.19882737661216, ""AMAT"": -0.0400872027001087, ""KO"": 0.100153219558831, ""CSCO"": -0.0116149594228614, ""LRCX"": 0.2880563004780103, ""KLAC"": 0.0093848888717507}","LRCX:0.288, T:0.204, PEP:0.199, PFE:0.136, KO:0.100"
2024-12-04T10:55:00+00:00,1,1,0,1.0,0.0,1.0,10000.0,0.0,"{""MTCH"": 1.0}",MTCH:1.000
2024-12-07T12:30:07+00:00,3,3,0,1.0,0.0,1.0,10000.0,0.0,"{""AAPL"": 0.4188830011121356, ""BRK-B"": 0.2922116686601173, ""MSFT"": 0.2889053302277471}","AAPL:0.419, BRK-B:0.292, MSFT:0.289"
2024-12-10T10:55:00+00:00,7,5,2,0.8544538860628864,-0.1455461139371132,0.7089077721257732,8544.538860628867,-1455.4611393711334,"{""NVDA"": 0.1681545279213036, ""WMT"": -0.0075307727900665, ""TGT"": 0.3346386459212586, ""PYPL"": 0.3504333611172008, ""MSFT"": 0.0001353337120275, ""KR"": -0.1380153411470467, ""BAC"": 0.001092017391096}","PYPL:0.350, TGT:0.335, NVDA:0.168, KR:0.138, WMT:0.008"
